"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2016","AQS","110010041","1","0.007","ppm","6","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/02/2016","AQS","110010041","1","0.022","ppm","20","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/03/2016","AQS","110010041","1","0.01","ppm","9","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/04/2016","AQS","110010041","1","0.028","ppm","26","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/05/2016","AQS","110010041","1","0.028","ppm","26","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/06/2016","AQS","110010041","1","0.029","ppm","27","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/07/2016","AQS","110010041","1","0.02","ppm","19","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/08/2016","AQS","110010041","1","0.027","ppm","25","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/09/2016","AQS","110010041","1","0.027","ppm","25","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/10/2016","AQS","110010041","1","0.028","ppm","26","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/11/2016","AQS","110010041","1","0.029","ppm","27","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/12/2016","AQS","110010041","1","0.03","ppm","28","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/13/2016","AQS","110010041","1","0.026","ppm","24","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/14/2016","AQS","110010041","1","0.032","ppm","30","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/15/2016","AQS","110010041","1","0.036","ppm","33","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/16/2016","AQS","110010041","1","0.036","ppm","33","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/17/2016","AQS","110010041","1","0.041","ppm","38","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/18/2016","AQS","110010041","1","0.04","ppm","37","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/19/2016","AQS","110010041","1","0.044","ppm","41","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/20/2016","AQS","110010041","1","0.031","ppm","29","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/21/2016","AQS","110010041","1","0.033","ppm","31","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/22/2016","AQS","110010041","1","0.027","ppm","25","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/23/2016","AQS","110010041","1","0.027","ppm","25","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/24/2016","AQS","110010041","1","0.033","ppm","31","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/25/2016","AQS","110010041","1","0.033","ppm","31","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/28/2016","AQS","110010041","1","0.022","ppm","20","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/29/2016","AQS","110010041","1","0.017","ppm","16","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"04/30/2016","AQS","110010041","1","0.02","ppm","19","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/01/2016","AQS","110010041","1","0.02","ppm","19","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/02/2016","AQS","110010041","1","0.021","ppm","19","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/03/2016","AQS","110010041","1","0.019","ppm","18","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/04/2016","AQS","110010041","1","0.015","ppm","14","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/05/2016","AQS","110010041","1","0.013","ppm","12","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/06/2016","AQS","110010041","1","0.011","ppm","10","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/07/2016","AQS","110010041","1","0.02","ppm","19","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/08/2016","AQS","110010041","1","0.028","ppm","26","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/09/2016","AQS","110010041","1","0.016","ppm","15","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/10/2016","AQS","110010041","1","0.021","ppm","19","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/11/2016","AQS","110010041","1","0.008","ppm","7","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/12/2016","AQS","110010041","1","0.02","ppm","19","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/13/2016","AQS","110010041","1","0.027","ppm","25","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
"05/14/2016","AQS","110010041","1","0.028","ppm","26","RIVER TERRACE","17","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","11","District Of Columbia","001","District of Columbia","38.895572","-76.958072"
